"","lifeexpect","medinc","uninsured","smoke","obesity","teenbirth","metro"
"1",78.5,48.314,10.5,19.9,28,27,84.12
"2",78.5,41.28,16.3,18.1,24,35,35.24
"3",79.5,45.352,12.8,18.1,28,34.9,45.33
"4",80.2,56.701,13.2,9.4,25,27.9,88.61
"5",77.8,43.83,16.7,20.2,29,38.3,70.31
"6",80.3,66.633,10.1,16.7,26,15.7,62.22
"7",78.5,47.266,24.8,16.7,30,52.2,87.83
"8",79.5,50.602,16.5,16.2,27,28.2,77.75
"9",75.9,43.103,16.3,24.1,32,50.4,64.17
"10",77,41.698,17.6,20.3,31,42.6,76.45
"11",79.9,56.163,12.8,15.5,27,26.7,87.74
"12",79.6,46.896,19.1,16.6,26,41.9,92.53
"13",79.8,52.504,11.8,17.6,29,31.1,58.66
"14",75.7,39.3,18,21.7,33,47.7,74.57
"15",75,38.16,18.7,23.2,35,55,44.86
"16",80.8,54.283,18.9,12.9,25,31.5,97.73
"17",80.3,62.968,14.4,15.6,24,20.1,100
"18",78.8,64.201,12.6,15.4,28,27.3,94.62
"19",77.5,45.817,13.7,22.6,31,37.1,74.53
"20",76.5,56.928,11.4,15.7,22,45.4,100
